date,sales,promotion,month,year,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_6
2014-10-31,20396037.5871,0.0655263801261717,10,2014,20022414.1143,13885149.4184,19421890.0441,683418.3130000001
2014-11-30,20531634.2056,0.055345295100283166,11,2014,20396037.5871,20022414.1143,13885149.4184,13379783.2617
2014-12-31,24340448.3657,0.08028494285067377,12,2014,20531634.2056,20396037.5871,20022414.1143,13319952.1723
2015-01-31,14896921.057,0.044131489351692546,1,2015,24340448.3657,20531634.2056,20396037.5871,19421890.0441
2015-02-28,13742394.849,0.03676362690428471,2,2015,14896921.057,24340448.3657,20531634.2056,13885149.4184
2015-03-31,15598607.518,0.03153217538375915,3,2015,13742394.849,14896921.057,24340448.3657,20022414.1143
2015-04-30,14955060.171,0.04184374478234923,4,2015,15598607.518,13742394.849,14896921.057,20396037.5871
2015-05-31,17730364.244,0.04243415000651241,5,2015,14955060.171,15598607.518,13742394.849,20531634.2056
2015-06-30,21603118.349,0.06471412961845456,6,2015,17730364.244,14955060.171,15598607.518,24340448.3657
2015-07-31,22209618.037,0.07597714391975789,7,2015,21603118.349,17730364.244,14955060.171,14896921.057
2015-08-31,22963674.241,0.0635772141982982,8,2015,22209618.037,21603118.349,17730364.244,13742394.849
2015-09-30,23240882.476999998,0.11132831645100187,9,2015,22963674.241,22209618.037,21603118.349,15598607.518
2015-10-31,23878261.664,0.07410838849579665,10,2015,23240882.476999998,22963674.241,22209618.037,14955060.171
2015-11-30,22804952.367,0.08408442645005416,11,2015,23878261.664,23240882.476999998,22963674.241,17730364.244
2015-12-31,27243975.676,0.07786041267349426,12,2015,22804952.367,23878261.664,23240882.476999998,21603118.349
2016-01-31,23977785.883,0.06465115347030727,1,2016,27243975.676,22804952.367,23878261.664,22209618.037
2016-02-29,21947407.802,0.11129257240927627,2,2016,23977785.883,27243975.676,22804952.367,22963674.241
2016-03-31,23131777.884,0.10183235386456473,3,2016,21947407.802,23977785.883,27243975.676,23240882.476999998
2016-04-30,25960078.106,0.11131483276747581,4,2016,23131777.884,21947407.802,23977785.883,23878261.664
2016-05-31,24763405.258,0.15824394703285197,5,2016,25960078.106,23131777.884,21947407.802,22804952.367
2016-06-30,22209218.58,0.15645958701713134,6,2016,24763405.258,25960078.106,23131777.884,27243975.676
2016-07-31,23462671.428,0.11479654395985346,7,2016,22209218.58,24763405.258,25960078.106,23977785.883
2016-08-31,22452414.318,0.1555742011316647,8,2016,23462671.428,22209218.58,24763405.258,21947407.802
2016-09-30,22417447.097,0.15066865956614686,9,2016,22452414.318,23462671.428,22209218.58,23131777.884
2016-10-31,24030387.818,0.1787137572446148,10,2016,22417447.097,22452414.318,23462671.428,25960078.106
2016-11-30,24642577.196,0.25613701386819837,11,2016,24030387.818,22417447.097,22452414.318,24763405.258
2016-12-31,29638203.882,0.23191757075989738,12,2016,24642577.196,24030387.818,22417447.097,22209218.58
2017-01-31,26328118.936,0.19783818804760203,1,2017,29638203.882,24642577.196,24030387.818,23462671.428
2017-02-28,23250111.376,0.15552103263180517,2,2017,26328118.936,29638203.882,24642577.196,22452414.318
2017-03-31,26704000.691,0.2041974817218222,3,2017,23250111.376,26328118.936,29638203.882,22417447.097
2017-04-30,25895305.491,0.18742341992014,4,2017,26704000.691,23250111.376,26328118.936,24030387.818
2017-05-31,26911839.25,0.19723103693107857,5,2017,25895305.491,26704000.691,23250111.376,24642577.196
2017-06-30,25682768.126,0.2019496193538932,6,2017,26911839.25,25895305.491,26704000.691,29638203.882
2017-07-31,27011474.566,0.21835714731487274,7,2017,25682768.126,26911839.25,25895305.491,26328118.936
2017-08-31,12433322.939,0.17680034563445518,8,2017,27011474.566,25682768.126,26911839.25,23250111.376
